                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     57,                0.87143,                 1.7953,                0.87969,                 1.2269,                0.71889,                0.53305,                0.62841,                 0.4073,                0.59169,                0.60477,                 0.6073,                 0.3676,                 1.3593,                 2.6801,                 1.3978,                 1.7579,             0.00063676,             0.00063676,             0.00063676
                     58,                0.86446,                 1.8047,                0.87803,                 1.2195,                0.67163,                0.56462,                0.62771,                0.39977,                 0.6745,                0.56672,                 0.6249,                0.37067,                 1.3294,                 2.6079,                 1.4586,                 1.7034,             0.00062262,             0.00062262,             0.00062262
                     59,                0.85188,                 1.7933,                0.85641,                 1.2107,                 0.6508,                0.57763,                0.62007,                0.38003,                0.64817,                0.58058,                0.62114,                0.36201,                 1.4101,                 2.7652,                 1.5055,                 1.7631,             0.00060847,             0.00060847,             0.00060847
                     60,                  0.844,                 1.7615,                0.83791,                 1.2069,                0.66237,                0.56735,                0.63271,                0.40882,                0.68113,                0.54293,                0.62027,                0.38219,                 1.3375,                 2.7767,                 1.4207,                 1.7057,             0.00059432,             0.00059432,             0.00059432
                     61,                0.83573,                 1.7251,                0.81372,                 1.1949,                0.67761,                0.56652,                0.62862,                0.38823,                0.68368,                 0.5722,                0.62881,                0.37061,                 1.4042,                 2.8935,                 1.4213,                 1.7786,             0.00058017,             0.00058017,             0.00058017
                     62,                0.84479,                  1.743,                0.83073,                  1.202,                0.66063,                 0.5591,                0.62068,                0.39805,                0.66112,                0.55828,                0.61248,                0.37005,                 1.3698,                 2.8091,                 1.4513,                 1.7323,             0.00056603,             0.00056603,             0.00056603
                     63,                0.82948,                 1.7272,                0.80126,                 1.1944,                 0.6252,                0.58015,                 0.6136,                0.39467,                0.64569,                0.57037,                0.61828,                0.36099,                 1.3833,                  2.837,                 1.4405,                 1.7653,             0.00055188,             0.00055188,             0.00055188
                     64,                0.81903,                 1.7109,                0.81049,                 1.1818,                0.65092,                0.58239,                0.62613,                0.40946,                0.67019,                0.55497,                0.61562,                0.38206,                 1.3578,                 2.7973,                 1.3706,                 1.7402,             0.00053773,             0.00053773,             0.00053773
                     65,                0.81548,                 1.7039,                0.77822,                  1.173,                0.64977,                0.56533,                0.62657,                0.40154,                 0.6554,                0.55134,                 0.6152,                0.37404,                 1.3745,                 2.9694,                 1.3656,                 1.7646,             0.00052359,             0.00052359,             0.00052359
                     66,                0.81894,                 1.6985,                0.78082,                 1.1842,                0.66903,                0.56901,                0.63311,                0.40574,                 0.6284,                0.58408,                0.61329,                0.37979,                 1.3629,                 3.0923,                 1.4054,                 1.7573,             0.00050944,             0.00050944,             0.00050944
                     67,                0.81017,                  1.668,                0.77263,                 1.1717,                 0.6213,                0.59946,                0.64185,                0.40291,                0.61449,                0.59593,                0.63267,                0.37843,                 1.4048,                 2.7614,                 1.3918,                 1.8305,             0.00049529,             0.00049529,             0.00049529
                     68,                 0.8021,                 1.6892,                0.77906,                 1.1783,                0.72468,                0.57635,                0.65064,                0.42202,                0.71821,                0.56747,                0.63976,                0.40262,                 1.3872,                 2.6136,                 1.3404,                 1.8239,             0.00048114,             0.00048114,             0.00048114
                     69,                0.79873,                 1.6646,                0.76357,                 1.1714,                0.71685,                0.58359,                0.64547,                0.39937,                0.69989,                0.56396,                0.62469,                0.37689,                 1.3711,                 2.8161,                 1.3936,                 1.7653,               0.000467,               0.000467,               0.000467
                     70,                0.79484,                 1.6592,                0.75206,                 1.1642,                0.69125,                0.54377,                0.63218,                0.40917,                0.67771,                0.53579,                0.62112,                0.38053,                 1.3169,                 2.8227,                 1.3786,                 1.7046,             0.00045285,             0.00045285,             0.00045285
                     71,                0.78017,                 1.6407,                0.73806,                 1.1545,                0.73829,                0.54385,                 0.6431,                0.41937,                0.73183,                0.52995,                0.63814,                0.39405,                 1.3111,                 2.9952,                 1.3617,                  1.695,              0.0004387,              0.0004387,              0.0004387
                     72,                0.77898,                 1.6353,                 0.7298,                 1.1535,                 0.6454,                0.56168,                0.60519,                0.39634,                0.62468,                0.58478,                0.60219,                0.36559,                 1.3435,                 3.0638,                 1.4311,                 1.7616,             0.00042456,             0.00042456,             0.00042456
                     73,                 0.7774,                 1.6213,                0.72617,                 1.1569,                0.74419,                0.56253,                0.64647,                0.40747,                0.71021,                0.53707,                0.60843,                 0.3812,                  1.394,                 2.7927,                 1.3918,                 1.8144,             0.00041041,             0.00041041,             0.00041041
                     74,                0.76337,                 1.6227,                0.71954,                 1.1458,                0.67485,                0.57053,                0.63676,                0.41898,                0.66778,                0.57993,                0.62724,                0.39099,                 1.3874,                 2.7666,                 1.3587,                 1.7968,             0.00039626,             0.00039626,             0.00039626
                     75,                0.76846,                 1.6078,                0.70644,                 1.1453,                0.64386,                0.57285,                0.62692,                0.41475,                0.64014,                0.58101,                0.62506,                0.39094,                 1.3495,                 3.0346,                 1.4064,                 1.7536,             0.00038211,             0.00038211,             0.00038211
                     76,                0.76639,                 1.6229,                 0.7043,                 1.1467,                0.70741,                0.52777,                0.63304,                0.41211,                0.70674,                0.53218,                0.61862,                0.38569,                 1.3553,                 2.9839,                 1.4056,                 1.7674,             0.00036797,             0.00036797,             0.00036797
                     77,                0.74815,                 1.5752,                0.68594,                 1.1293,                0.71005,                0.54644,                0.63452,                0.41601,                0.75198,                0.52182,                0.62125,                0.38897,                 1.3459,                 2.7985,                 1.3398,                 1.7654,             0.00035382,             0.00035382,             0.00035382
                     78,                0.74982,                 1.5773,                0.67715,                 1.1344,                0.69827,                0.57542,                0.63792,                0.40987,                0.69187,                0.55941,                0.62452,                0.37501,                 1.3908,                 2.9505,                 1.3648,                 1.7956,             0.00033967,             0.00033967,             0.00033967
                     79,                0.75974,                 1.5965,                0.69589,                 1.1364,                0.67633,                0.57141,                 0.6278,                0.40836,                 0.6776,                 0.5721,                0.61109,                0.37931,                 1.3967,                 3.0366,                 1.4027,                 1.7819,             0.00032553,             0.00032553,             0.00032553
                     80,                0.74183,                 1.5691,                0.66741,                 1.1264,                0.70194,                0.55557,                0.61563,                0.40302,                0.69831,                0.55265,                0.60132,                0.37385,                 1.4136,                 3.1645,                 1.3665,                 1.8734,             0.00031138,             0.00031138,             0.00031138
                     81,                0.74568,                 1.5863,                 0.6761,                 1.1285,                0.70748,                0.54238,                0.62702,                0.40797,                0.70642,                0.54465,                0.60961,                0.37529,                   1.39,                 3.0087,                  1.374,                 1.7835,             0.00029723,             0.00029723,             0.00029723
                     82,                0.74465,                 1.5748,                0.66033,                 1.1255,                0.66432,                0.56234,                  0.604,                0.38816,                0.66453,                0.56303,                0.60478,                0.37316,                 1.4023,                 3.1067,                 1.3853,                 1.8195,             0.00028308,             0.00028308,             0.00028308
                     83,                0.72917,                 1.5441,                0.64995,                 1.1189,                0.68505,                0.57279,                0.61265,                0.39571,                  0.685,                0.55557,                0.59786,                 0.3717,                 1.4146,                 3.1362,                 1.4132,                 1.8494,             0.00026894,             0.00026894,             0.00026894
