                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.37018,                  0.503,                0.27195,                0.96647,                0.99718,                      1,                  0.995,                0.95418,                0.99718,                      1,                  0.995,                0.94556,                0.33962,                0.35271,                  0.224,                0.96887,                0.00068,                0.00068,                0.00068
                     42,                0.36827,                0.50211,                0.27807,                0.97076,                0.99769,                      1,                  0.995,                0.94607,                0.99769,                      1,                  0.995,                0.94603,                0.34714,                0.35952,                0.23145,                0.98625,               0.000647,               0.000647,               0.000647
                     43,                0.36824,                0.51091,                0.27741,                0.96648,                0.99859,                      1,                  0.995,                0.92479,                0.99859,                      1,                  0.995,                0.94383,                0.40285,                0.36476,                0.26671,                 1.0292,               0.000614,               0.000614,               0.000614
                     44,                 0.3447,                0.47901,                0.26063,                0.95565,                0.99859,                      1,                  0.995,                0.94756,                0.99859,                      1,                  0.995,                0.95461,                0.33527,                0.35621,                0.21283,                0.98617,               0.000581,               0.000581,               0.000581
                     45,                 0.3512,                0.48003,                0.25807,                0.95634,                0.99912,                      1,                  0.995,                0.94531,                0.99912,                      1,                  0.995,                0.95051,                0.33174,                0.34597,                0.21705,                0.97878,               0.000548,               0.000548,               0.000548
                     46,                0.34746,                0.47226,                0.26103,                0.95683,                 0.9991,                      1,                  0.995,                0.94519,                 0.9991,                      1,                  0.995,                0.95172,                0.33768,                0.34673,                0.22096,                0.96812,               0.000515,               0.000515,               0.000515
                     47,                0.34226,                0.49008,                0.26102,                0.95434,                0.99088,                      1,                  0.995,                 0.9394,                0.99088,                      1,                  0.995,                0.94905,                0.36134,                0.34392,                0.23044,                 0.9898,               0.000482,               0.000482,               0.000482
                     48,                0.34866,                0.48037,                0.25676,                0.95733,                0.99893,                      1,                  0.995,                0.95379,                0.99893,                      1,                  0.995,                0.95299,                0.32341,                0.34663,                0.21129,                0.94536,               0.000449,               0.000449,               0.000449
                     49,                0.35256,                0.47984,                0.26087,                0.96214,                0.99129,                      1,                  0.995,                0.94314,                0.99129,                      1,                  0.995,                0.94811,                0.35006,                0.35918,                 0.2093,                0.98573,               0.000416,               0.000416,               0.000416
                     50,                0.33641,                0.47436,                0.24704,                0.95056,                0.99815,                      1,                  0.995,                0.94641,                0.99815,                      1,                  0.995,                0.94901,                0.33319,                0.34301,                 0.2203,                0.96377,               0.000383,               0.000383,               0.000383
                     51,                0.25016,                0.33553,                0.19444,                0.93188,                0.99916,                      1,                  0.995,                0.96138,                0.99916,                      1,                  0.995,                0.95843,                0.29737,                0.34026,                  0.199,                 0.9365,                0.00035,                0.00035,                0.00035
                     52,                0.24664,                0.32802,                0.18766,                0.93921,                0.99926,                      1,                  0.995,                0.95538,                0.99926,                      1,                  0.995,                0.95402,                0.32869,                0.34681,                0.21158,                0.95546,               0.000317,               0.000317,               0.000317
                     53,                 0.2345,                0.32016,                0.17724,                0.92405,                0.99858,                      1,                  0.995,                0.96277,                0.99858,                      1,                  0.995,                0.95984,                0.31452,                0.35256,                  0.194,                0.94793,               0.000284,               0.000284,               0.000284
                     54,                0.23385,                0.31491,                0.17662,                0.92559,                0.99851,                      1,                  0.995,                 0.9579,                0.99851,                      1,                  0.995,                 0.9563,                0.31913,                0.34918,                0.18928,                0.96748,               0.000251,               0.000251,               0.000251
                     55,                0.21958,                0.31223,                 0.1671,                0.90847,                0.99925,                      1,                  0.995,                0.95939,                0.99925,                      1,                  0.995,                0.95681,                0.31223,                0.34451,                0.19227,                0.94599,               0.000218,               0.000218,               0.000218
                     56,                0.21742,                 0.3095,                0.16244,                0.91072,                0.99942,                      1,                  0.995,                0.96211,                0.99942,                      1,                  0.995,                 0.9559,                0.30437,                0.34665,                0.19081,                0.93405,               0.000185,               0.000185,               0.000185
                     57,                0.20802,                 0.3147,                0.15963,                0.90002,                0.99941,                      1,                  0.995,                0.96676,                0.99941,                      1,                  0.995,                0.96058,                0.29229,                0.34059,                0.17937,                0.91681,               0.000152,               0.000152,               0.000152
                     58,                0.20481,                0.30914,                0.15682,                0.89648,                0.99874,                      1,                  0.995,                0.96225,                0.99874,                      1,                  0.995,                0.95944,                 0.3059,                0.34461,                 0.1865,                 0.9407,               0.000119,               0.000119,               0.000119
                     59,                0.20093,                0.30275,                0.15379,                 0.8935,                0.99825,                      1,                  0.995,                0.96583,                0.99825,                      1,                  0.995,                0.95979,                0.29671,                0.34752,                0.18323,                0.93233,                8.6e-05,                8.6e-05,                8.6e-05
                     60,                0.20082,                0.32591,                0.15592,                 0.8936,                0.99932,                      1,                  0.995,                0.96504,                0.99932,                      1,                  0.995,                0.96019,                0.29032,                0.34813,                0.17716,                0.92917,                5.3e-05,                5.3e-05,                5.3e-05
